# Epoch,N_trajectories,Trajectory_length,Rewards
0,26,500,19.230769
1,22,500,22.727273
2,11,500,45.454545
3,9,500,55.555556
4,5,500,100.000000
5,6,500,83.333333
6,5,500,100.000000
7,3,500,166.666667
8,2,500,250.000000
9,2,500,250.000000
10,2,500,250.000000
11,1,500,500.000000
12,2,500,250.000000
13,1,500,500.000000
14,3,500,166.666667
15,2,500,250.000000
16,1,500,500.000000
17,1,500,500.000000
18,1,500,500.000000
19,2,500,250.000000
20,1,500,500.000000
21,1,500,500.000000
22,1,500,500.000000
23,1,500,500.000000
24,2,500,250.000000
